Category,match_score_pct,Skills Matched,Skills Missing
ENGINEERING,8.1,"PYTHON, SQL, MACHINE LEARNING, TABLEAU",NLP
CONSULTANT,5.06,"PYTHON, SQL, MACHINE LEARNING","NLP, TABLEAU"
AVIATION,4.88,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
SALES,4.39,"MACHINE LEARNING, TABLEAU","PYTHON, SQL, NLP"
AUTOMOBILE,4.25,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
AUTOMOBILE,4.14,"PYTHON, SQL, MACHINE LEARNING","NLP, TABLEAU"
AGRICULTURE,4.14,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
DIGITAL-MEDIA,3.9,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
BANKING,3.81,"PYTHON, SQL, MACHINE LEARNING","NLP, TABLEAU"
PUBLIC-RELATIONS,3.61,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,3.52,"SQL, MACHINE LEARNING, TABLEAU","PYTHON, NLP"
INFORMATION-TECHNOLOGY,3.25,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
DIGITAL-MEDIA,3.08,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
DIGITAL-MEDIA,2.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.79,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.59,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AVIATION,2.49,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,2.33,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.29,MACHINE LEARNING,"PYTHON, SQL, NLP, TABLEAU"
ARTS,2.28,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
AGRICULTURE,2.27,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.26,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
INFORMATION-TECHNOLOGY,2.17,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.16,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
BPO,2.15,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
ENGINEERING,2.14,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,2.13,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
FITNESS,2.13,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,2.13,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
HR,2.12,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
CONSULTANT,2.11,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
AUTOMOBILE,2.05,SQL,"PYTHON, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,2.0,PYTHON,"SQL, NLP, MACHINE LEARNING, TABLEAU"
DESIGNER,1.9,"PYTHON, SQL","NLP, MACHINE LEARNING, TABLEAU"
BUSINESS-DEVELOPMENT,1.89,"PYTHON, SQL, TABLEAU","NLP, MACHINE LEARNING"
HEALTHCARE,1.88,"SQL, TABLEAU","PYTHON, NLP, MACHINE LEARNING"
BUSINESS-DEVELOPMENT,1.87,TABLEAU,"PYTHON, SQL, NLP, MACHINE LEARNING"
AVIATION,1.87,,"PYTHON, SQL, NLP, MACHINE LEARNING, TABLEAU"
